product_id,rows,long_signals,first_time,last_time,signal_rate_pct
BTC-USD,720,7,2026-04-04 13:00:00+00:00,2026-05-04 12:00:00+00:00,0.9722222222222222
DOGE-USD,720,4,2026-04-04 13:00:00+00:00,2026-05-04 12:00:00+00:00,0.5555555555555556
ETH-USD,720,4,2026-04-04 13:00:00+00:00,2026-05-04 12:00:00+00:00,0.5555555555555556
SOL-USD,720,4,2026-04-04 13:00:00+00:00,2026-05-04 12:00:00+00:00,0.5555555555555556
XRP-USD,720,2,2026-04-04 13:00:00+00:00,2026-05-04 12:00:00+00:00,0.2777777777777778
