time,product_id,open,high,low,close,volume
2026-04-04 13:00:00+00:00,BTC-USD,67084.98,67262.53,67069.98,67183.97,139.16638182
2026-04-04 14:00:00+00:00,BTC-USD,67183.97,67214.0,67020.01,67199.8,139.19218853
2026-04-04 15:00:00+00:00,BTC-USD,67199.8,67528.2,67175.62,67374.49,233.6511436
2026-04-04 16:00:00+00:00,BTC-USD,67374.49,67513.45,67314.28,67358.99,169.99928864
2026-04-04 17:00:00+00:00,BTC-USD,67361.82,67408.32,67276.45,67324.02,90.91568739
2026-04-04 18:00:00+00:00,BTC-USD,67324.02,67374.0,67245.37,67284.05,64.00992871
2026-04-04 19:00:00+00:00,BTC-USD,67284.05,67535.2,67265.0,67281.99,90.29789134
2026-04-04 20:00:00+00:00,BTC-USD,67281.99,67291.5,67170.6,67267.48,116.66053489
2026-04-04 21:00:00+00:00,BTC-USD,67267.48,67456.48,67200.0,67350.08,108.66419933
2026-04-04 22:00:00+00:00,BTC-USD,67350.08,67463.75,67329.36,67395.98,94.76437135
2026-04-04 23:00:00+00:00,BTC-USD,67395.98,67395.98,67244.0,67291.73,129.60795159
2026-04-05 00:00:00+00:00,BTC-USD,67291.72,67300.25,67137.49,67199.99,110.41522353
2026-04-05 01:00:00+00:00,BTC-USD,67200.0,67221.66,67062.24,67079.99,96.74162781
2026-04-05 02:00:00+00:00,BTC-USD,67079.99,67171.98,66953.51,67157.96,92.82697485
2026-04-05 03:00:00+00:00,BTC-USD,67157.96,67183.68,67077.04,67138.55,50.53627209
2026-04-05 04:00:00+00:00,BTC-USD,67138.55,67181.99,67055.98,67085.1,41.35069953
2026-04-05 05:00:00+00:00,BTC-USD,67084.93,67142.88,66883.25,66918.59,82.57372239
2026-04-05 06:00:00+00:00,BTC-USD,66918.6,66931.2,66600.0,66786.0,142.70521118
2026-04-05 07:00:00+00:00,BTC-USD,66786.0,66901.79,66706.92,66808.57,77.80973199
2026-04-05 08:00:00+00:00,BTC-USD,66808.56,66926.0,66802.69,66917.55,42.58551488
2026-04-05 09:00:00+00:00,BTC-USD,66917.54,67037.97,66883.33,67017.85,56.37540515
2026-04-05 10:00:00+00:00,BTC-USD,67018.2,67127.76,66950.01,67023.31,74.90113265
2026-04-05 11:00:00+00:00,BTC-USD,67028.85,67092.0,66963.96,66990.35,67.66820916
