time,product_id,open,high,low,close,volume
2026-04-04 13:00:00+00:00,ETH-USD,2049.74,2054.6,2049.3,2053.09,917.01849072
2026-04-04 14:00:00+00:00,ETH-USD,2053.08,2054.49,2043.9,2052.95,1502.671011
2026-04-04 15:00:00+00:00,ETH-USD,2052.81,2061.45,2051.83,2055.86,1892.37215494
2026-04-04 16:00:00+00:00,ETH-USD,2055.83,2061.8,2053.03,2055.45,2595.50479319
2026-04-04 17:00:00+00:00,ETH-USD,2055.29,2057.67,2052.72,2056.38,1979.4497846
2026-04-04 18:00:00+00:00,ETH-USD,2056.38,2058.03,2054.52,2054.75,924.7985857
2026-04-04 19:00:00+00:00,ETH-USD,2054.75,2083.32,2054.62,2064.41,5159.27596219
2026-04-04 20:00:00+00:00,ETH-USD,2064.4,2064.52,2059.4,2062.62,1680.08398108
2026-04-04 21:00:00+00:00,ETH-USD,2062.63,2071.27,2062.46,2068.3,1555.56876516
2026-04-04 22:00:00+00:00,ETH-USD,2068.27,2071.86,2067.59,2068.86,1006.51244612
2026-04-04 23:00:00+00:00,ETH-USD,2068.86,2068.86,2062.31,2065.17,1565.48700245
2026-04-05 00:00:00+00:00,ETH-USD,2065.14,2065.33,2058.98,2061.82,766.3540635
2026-04-05 01:00:00+00:00,ETH-USD,2061.82,2062.24,2056.64,2056.8,979.24967724
2026-04-05 02:00:00+00:00,ETH-USD,2056.79,2059.64,2053.86,2059.43,771.39277665
2026-04-05 03:00:00+00:00,ETH-USD,2059.39,2060.36,2054.71,2056.36,470.16604985
2026-04-05 04:00:00+00:00,ETH-USD,2056.26,2057.79,2053.49,2054.6,560.16734223
2026-04-05 05:00:00+00:00,ETH-USD,2054.5,2056.53,2046.61,2048.16,714.97280798
2026-04-05 06:00:00+00:00,ETH-USD,2048.16,2049.0,2027.26,2037.58,3012.4877413
2026-04-05 07:00:00+00:00,ETH-USD,2037.53,2042.04,2033.81,2036.7,1020.80969527
2026-04-05 08:00:00+00:00,ETH-USD,2036.61,2039.37,2035.36,2038.49,594.44340975
2026-04-05 09:00:00+00:00,ETH-USD,2038.42,2045.71,2038.21,2044.08,377.46193858
2026-04-05 10:00:00+00:00,ETH-USD,2043.99,2052.05,2041.7,2044.13,519.55900451
2026-04-05 11:00:00+00:00,ETH-USD,2044.22,2045.56,2038.74,2041.29,1448.18122751
2026-04-05 12:00:00+00:00,ETH-USD,2041.29,2041.29,2020.97,2027.88,3742.59425025
2026-04-05 13:00:00+00:00,ETH-USD,2027.79,2037.06,2024.97,2036.0,1660.9349247
2026-04-05 14:00:00+00:00,ETH-USD,2035.98,2042.68,2034.39,2038.05,1481.25804121
2026-04-05 15:00:00+00:00,ETH-USD,2038.05,2069.0,2033.97,2053.47,3553.47939258
2026-04-05 16:00:00+00:00,ETH-USD,2053.48,2058.7,2049.57,2051.5,1374.98746479
2026-04-05 17:00:00+00:00,ETH-USD,2051.55,2061.9,2047.9,2061.67,1371.20798093
2026-04-05 18:00:00+00:00,ETH-USD,2061.7,2066.14,2056.2,2062.54,2924.89063738
2026-04-05 19:00:00+00:00,ETH-USD,2062.62,2070.0,2057.67,2062.04,3428.62041574
2026-04-05 20:00:00+00:00,ETH-USD,2062.05,2074.96,2061.64,2068.74,4432.73078783
2026-04-05 21:00:00+00:00,ETH-USD,2068.73,2068.89,2056.17,2059.64,2075.71637201
2026-04-05 22:00:00+00:00,ETH-USD,2059.63,2087.08,2049.41,2085.03,6423.69051178
2026-04-05 23:00:00+00:00,ETH-USD,2085.12,2122.79,2081.41,2109.24,9631.72514388
2026-04-06 00:00:00+00:00,ETH-USD,2109.33,2134.5,2109.33,2121.54,8712.75025722
2026-04-06 01:00:00+00:00,ETH-USD,2121.52,2124.37,2112.12,2114.6,3771.49337613
2026-04-06 02:00:00+00:00,ETH-USD,2114.6,2146.25,2113.8,2132.76,4967.59166588
2026-04-06 03:00:00+00:00,ETH-USD,2132.98,2136.75,2125.8,2128.75,1980.5438631
2026-04-06 04:00:00+00:00,ETH-USD,2128.75,2133.81,2124.27,2130.29,1632.54268217
2026-04-06 05:00:00+00:00,ETH-USD,2130.3,2134.14,2127.86,2130.73,1150.35277431
2026-04-06 06:00:00+00:00,ETH-USD,2130.71,2138.68,2118.45,2126.94,2563.27523125
2026-04-06 07:00:00+00:00,ETH-USD,2126.95,2140.87,2122.39,2134.88,2128.3891463
2026-04-06 08:00:00+00:00,ETH-USD,2134.89,2147.82,2133.36,2138.49,8573.80880391
2026-04-06 09:00:00+00:00,ETH-USD,2138.5,2174.86,2138.13,2151.26,15255.6256131
2026-04-06 10:00:00+00:00,ETH-USD,2151.27,2158.02,2149.35,2153.61,3202.65030558
2026-04-06 11:00:00+00:00,ETH-USD,2153.52,2154.03,2146.69,2151.73,4296.24404481
2026-04-06 12:00:00+00:00,ETH-USD,2151.72,2154.87,2142.09,2143.45,5143.80019974
2026-04-06 13:00:00+00:00,ETH-USD,2143.46,2150.11,2137.86,2146.8,12257.1953774
2026-04-06 14:00:00+00:00,ETH-USD,2146.79,2165.75,2137.43,2157.13,21451.86628165
2026-04-06 15:00:00+00:00,ETH-USD,2157.13,2170.29,2155.95,2165.31,18974.78661124
2026-04-06 16:00:00+00:00,ETH-USD,2165.31,2169.59,2140.38,2140.56,12446.21990048
2026-04-06 17:00:00+00:00,ETH-USD,2140.68,2141.25,2122.98,2134.63,12642.77362372
2026-04-06 18:00:00+00:00,ETH-USD,2134.63,2149.62,2130.81,2145.46,8649.41574686
2026-04-06 19:00:00+00:00,ETH-USD,2145.47,2146.4,2135.87,2144.12,9096.86059286
2026-04-06 20:00:00+00:00,ETH-USD,2144.29,2155.73,2139.72,2149.4,5103.51412799
2026-04-06 21:00:00+00:00,ETH-USD,2149.39,2149.39,2137.81,2139.62,2851.115483
2026-04-06 22:00:00+00:00,ETH-USD,2139.58,2141.3,2103.28,2105.4,8690.65921783
2026-04-06 23:00:00+00:00,ETH-USD,2105.38,2110.39,2087.83,2107.39,10769.91586785
2026-04-07 00:00:00+00:00,ETH-USD,2107.25,2119.97,2105.4,2112.53,5799.63921978
2026-04-07 01:00:00+00:00,ETH-USD,2112.53,2120.09,2097.7,2099.28,7632.61232564
