time,product_id,open,high,low,close,volume
2026-04-04 13:00:00+00:00,XRP-USD,1.3103,1.3115,1.3079,1.3091,1208818.612275
2026-04-04 14:00:00+00:00,XRP-USD,1.3092,1.3127,1.306,1.3124,1555036.323127
2026-04-04 15:00:00+00:00,XRP-USD,1.3125,1.3166,1.3112,1.3126,1995583.08791
2026-04-04 16:00:00+00:00,XRP-USD,1.3126,1.3158,1.3104,1.3123,2214631.49273
2026-04-04 17:00:00+00:00,XRP-USD,1.3122,1.3161,1.3118,1.3143,1219750.596924
2026-04-04 18:00:00+00:00,XRP-USD,1.3144,1.3158,1.3132,1.3132,830988.515119
2026-04-04 19:00:00+00:00,XRP-USD,1.3132,1.3225,1.3131,1.3176,1969437.971273
2026-04-04 20:00:00+00:00,XRP-USD,1.3177,1.3183,1.3155,1.3167,802918.859891
2026-04-04 21:00:00+00:00,XRP-USD,1.3167,1.3186,1.3143,1.3168,1141384.4861
2026-04-04 22:00:00+00:00,XRP-USD,1.3168,1.3184,1.3159,1.3164,703614.538108
2026-04-04 23:00:00+00:00,XRP-USD,1.3164,1.3166,1.3134,1.3152,923205.960271
2026-04-05 00:00:00+00:00,XRP-USD,1.3152,1.3153,1.3114,1.3124,985263.611106
2026-04-05 01:00:00+00:00,XRP-USD,1.3123,1.3141,1.3114,1.3127,808878.218146
2026-04-05 02:00:00+00:00,XRP-USD,1.3127,1.3194,1.3103,1.3166,1103669.103945
2026-04-05 03:00:00+00:00,XRP-USD,1.3165,1.3172,1.313,1.3133,383980.677763
2026-04-05 04:00:00+00:00,XRP-USD,1.3133,1.3153,1.3092,1.3108,1775217.317253
2026-04-05 05:00:00+00:00,XRP-USD,1.3107,1.3122,1.2996,1.3005,2891291.993728
2026-04-05 06:00:00+00:00,XRP-USD,1.3006,1.303,1.2955,1.3012,3972940.697807
2026-04-05 07:00:00+00:00,XRP-USD,1.3012,1.3033,1.296,1.2976,2109902.384074
2026-04-05 08:00:00+00:00,XRP-USD,1.2975,1.2996,1.2967,1.299,750347.266421
2026-04-05 09:00:00+00:00,XRP-USD,1.2989,1.3017,1.2986,1.3007,448753.379782
2026-04-05 10:00:00+00:00,XRP-USD,1.3006,1.3037,1.298,1.2985,602918.529072
2026-04-05 11:00:00+00:00,XRP-USD,1.2986,1.3003,1.2973,1.2983,547051.775324
2026-04-05 12:00:00+00:00,XRP-USD,1.2982,1.2983,1.2789,1.2825,5611580.472418
2026-04-05 13:00:00+00:00,XRP-USD,1.2825,1.2924,1.2803,1.2889,3856321.915912
2026-04-05 14:00:00+00:00,XRP-USD,1.2887,1.2907,1.2851,1.2861,1431588.649637
2026-04-05 15:00:00+00:00,XRP-USD,1.286,1.3053,1.2834,1.2963,3989555.973233
2026-04-05 16:00:00+00:00,XRP-USD,1.2963,1.3018,1.2963,1.2975,1176362.536824
2026-04-05 17:00:00+00:00,XRP-USD,1.2976,1.3029,1.2965,1.3021,1463613.486513
2026-04-05 18:00:00+00:00,XRP-USD,1.302,1.3042,1.2983,1.3027,2289511.066739
2026-04-05 19:00:00+00:00,XRP-USD,1.3027,1.3072,1.299,1.3003,2269196.063433
2026-04-05 20:00:00+00:00,XRP-USD,1.3003,1.305,1.2992,1.3042,1605712.279624
2026-04-05 21:00:00+00:00,XRP-USD,1.3042,1.3044,1.2984,1.3005,2071747.611297
2026-04-05 22:00:00+00:00,XRP-USD,1.3003,1.3127,1.2968,1.312,4518007.892966
2026-04-05 23:00:00+00:00,XRP-USD,1.312,1.3375,1.3113,1.326,8367104.453102
